N,Seminar
10,Statistics
12,Statistics
9,Statistics
9,Statistics
15,Statistics
12,Statistics
11,Statistics
5,Statistics
12,Statistics
13,Statistics
11,Statistics
8,Statistics
6,Statistics
7,Statistics
4,Statistics
22,General Psychology
9,General Psychology
10,General Psychology
12,General Psychology
16,General Psychology
11,General Psychology
7,General Psychology
19,General Psychology
5,General Psychology
14,General Psychology
9,General Psychology
10,General Psychology
17,General Psychology
8,General Psychology
9,General Psychology
